mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,alternative rock,0.15705871937921256,0.4783424276886565,240339.44120031735,0.7117322313989154,0.16548782911256404,0.19039048143802687,0.71,0.062274000533020436,125.4851876376684,0.5058402960386075,42.72960825695093,7
1,ambient,0.6732743467076509,0.3350752947488824,350676.8253885043,0.27629745841177084,0.7529056017847178,0.12553576966443994,0.32999999999999996,0.043267816669735656,107.28752653132194,0.19148207614507448,43.241136528122816,11
1,blues,0.5913144775368308,0.5826933081017056,230965.36081074894,0.4508048993434842,0.10295492190625924,0.19913064406952485,0.6,0.06836228068761763,116.6415666499722,0.6431102369314657,28.352565872490736,0
1,classic rock,0.2668147467190445,0.5254330038344099,254238.06051499976,0.6063154783872091,0.07212945974706719,0.2192113603528552,0.64,0.060576345611870426,123.09597631800136,0.5884981442324899,36.8183916977534,9
1,classical,0.9230848689192328,0.3144252479947693,312001.1515729343,0.16407920086991465,0.5760118839862208,0.17213653086501385,0.28,0.05345407460114258,103.15758348413011,0.2356251890056112,17.142737001371476,7
1,contemporary choir,0.987,0.15565,254533.0,0.02395,0.8915000000000001,0.0968,0.0,0.0451,69.16649999999998,0.04755,46.5,1
1,country,0.3171068021770897,0.589586373933353,213907.40094147253,0.58915757133936,0.016325767739376912,0.17344549913100646,0.71,0.04558997764661312,122.4546646595809,0.5707950392325253,44.31724542423189,7
1,country rock,0.3601398325385802,0.5626379483851138,235107.2421992,0.5369717002543435,0.05239606935872362,0.2005569428158984,0.62,0.048922009049517816,121.49687659204966,0.6144155888818442,36.48718341013269,7
1,dance pop,0.18368680676583865,0.6518115843817148,229190.83388664768,0.6843806823563691,0.02715595957940806,0.1816706050165908,0.78,0.08443174178883278,119.4704292887894,0.5456980191310821,55.668339678786744,7
1,disco,0.25509769538600585,0.6647517265660592,287209.1416689016,0.6167372912957944,0.08234601323354962,0.1656192958502154,0.65,0.060661621109941465,116.50804058444295,0.7194565850963407,40.193234841163466,7
1,electro,0.12061038616371587,0.795598536895207,303464.484029691,0.6716991753051186,0.13800262534609736,0.18462167673424887,0.64,0.15038538445502736,113.01529038238805,0.6524782592618944,37.10704981505326,7
1,electro house,0.07570687165754922,0.6352858116437545,236145.0713584968,0.7907568972180593,0.14712168604347825,0.20831990313826,0.8200000000000001,0.09423784035682092,126.27097352812794,0.4133194770645647,56.97599062912178,11
1,emo,0.07730101748190353,0.4549152334883891,218285.2541115661,0.8042458209363019,0.07530786742120521,0.2014853965559214,0.79,0.07343053896773065,132.58597893580776,0.4517315561020012,45.102787607451276,9
