Assignments,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale,duration_min
0,1299236.780059875,35.81791621292435,257019.66673749473,0.07627803558351579,0.5453587404998811,0.4737744019058928,5.130070688942094,-10.037598302403428,0.6640510872740932,0.06102348254024868,0.3328051474837917,0.016709595336579102,0.15585263840880506,0.36605644627755096,116.5451401067649,3.88447689044542,0.832706694959996,0.4786110465274899,0.04756540515175366,0.35817916212925127,4.283634883835477
1,829813.4841226441,21.556627882423644,234256.63416568757,0.004512796634487837,0.4337377918970272,0.24185678273145045,5.100358966306978,-14.332689859608104,0.7077754376086238,0.0497762586831451,0.8536925342587878,0.028810157574567088,0.19249723520144787,0.3082857961959339,109.30891306842939,3.746013741425145,0.7611218356731773,0.4488943359675057,0.04335275916825831,0.21556627882423224,3.904279793391362
2,1368392.5964638067,37.2078849914024,230970.88709913456,0.09326460676669418,0.6832805763438178,0.7235709651238231,5.3845401810576465,-7.611406202871015,0.639169264915711,0.08437690925572593,0.15899835406199941,0.014838602221756278,0.16425423513917717,0.797865674250758,121.7012357672223,3.976699092272733,0.8731432299521008,0.4997853686637783,0.042744681613611404,0.3720788499139952,3.8494996727627773
3,1463117.3801660342,38.51072757279924,249044.90854134227,0.11249731927233396,0.5138132323825714,0.7965445529167922,5.308148479677754,-6.387478972216466,0.623989482223279,0.08507375404439743,0.0558966566672835,0.023770642373089106,0.1973805169375357,0.43165294587883657,128.53365778373205,3.9607292822487654,0.8935420171297387,0.527843790050191,0.04608955464816182,0.3851072757279689,4.150737611929814
4,926820.8545060338,24.31852422092782,216317.78903179438,0.01994328552999161,0.6131812517479012,0.5077272103668061,5.198542744848035,-10.012524395341302,0.6863563509080028,0.0740250812676809,0.708456614633287,0.018519402380323246,0.18973669269839913,0.7582555549207223,119.9678331764555,3.884499147478672,0.833124593410974,0.49266687683088767,0.040032902569037486,0.24318524220929374,3.6053009685965027
5,1232073.1025641025,20.41251586697131,191810.55024117796,0.024447829398324447,0.6583985021579172,0.3960542444021376,5.186900228484387,-15.516335415079803,0.6602691038334603,0.8572135821274386,0.6622324437420615,0.00443711649124142,0.3928102487941135,0.5461219725818824,103.2290715409996,3.588981975120589,0.7413944097486692,0.4239265053612378,0.03549746465090725,0.20412515866972186,3.1968728103579402
6,1312607.9860416534,26.43742482749889,257868.28531788735,0.03401489734337743,0.5148222858770592,0.7548705694119646,5.481262264987023,-9.018671614863747,0.6024878141419256,0.062183036863538106,0.07395403600313913,0.7497989069654414,0.2264102192399358,0.47325421837480813,126.6041953746499,3.940189065434365,0.8496888064189133,0.5199201475713134,0.04772245494917845,0.26437424827496386,4.2978211052730995
7,529577.2678934205,16.281190181079435,325286.2702403391,0.001063447476695832,0.31850167584653505,0.15719715048734353,4.917843181834851,-20.156579644881486,0.6742623708278022,0.045270597510794014,0.9177093813613644,0.8185809723577008,0.1723903497642134,0.17950676286587616,100.8516410534703,3.7172623194889587,0.6640570059186383,0.4141632111334496,0.060199180205484565,0.16281190181081057,5.421406390952568
8,1189486.1300373492,31.964230597130776,270163.93247007043,0.060096614828275816,0.509020787712204,0.7155478186042711,5.250541061302017,-8.325201731396318,0.67520797757221,0.09667633667253983,0.29607649055329094,0.031180426016784658,0.7704916763311688,0.553469249180435,121.87238146419973,3.9306802304875488,0.8612466378100783,0.5004882055308473,0.049997951784967555,0.31964230597128923,4.502719460856316
9,513654.61828256777,12.556306777258893,207777.46252410492,0.0007899444715503822,0.5497433795683206,0.3731089566692022,5.024999419158477,-14.210935340721743,0.6753328221927929,0.07080629632210575,0.8821220115703458,0.7827309425896076,0.21042350897981452,0.697372737622265,118.45640268581032,3.8485746149020703,0.7631510776546456,0.48645994852637087,0.038452385032682536,0.12556306777259643,3.462939987453756
