genres,popularity
abstract beats,58.93333333333332
gaming edm,58.91857993197278
cincinnati rap,58.83333333333334
lo-fi beats,58.8258451472192
vapor soul,58.78218525189328
sound,58.759615384615394
cumbia villera,58.75
pop dance,58.691473544350345
indie anthem-folk,58.5424066924067
french indietronica,58.5
polynesian hip hop,58.5
swedish country,58.5
drill,58.48919214843128
alternative r&b,58.48419410253855
indie electropop,58.44943181818182
estonian pop,58.42857142857143
australian hip hop,58.420110192837456
charlottesville indie,58.4
bubble trance,58.4
chill beats,58.33333333333334
spanish synthpop,58.33333333333334
nashville americana,58.25
korean r&b,58.240598290598285
trap soul,58.23701466781711
vapor twitch,58.21584046035265
nashville indie,58.20833333333333
canadian latin,58.193548387096776
grime,58.18919413919414
icelandic classical,58.125
australian trap,58.11111111111111
australian house,58.07142857142857
singaporean singer-songwriter,58.037037037037045
florida rap,58.023632799948594
bath indie,58.0
nightcore,58.0
iowa hip hop,58.0
chinese jazz,58.0
zouglou,58.0
gaming dubstep,58.0
australian ambient,58.0
vapor pop,57.99555555555556
ska argentino,57.94244350282485
chillhop,57.939013313425406
lgbtq+ hip hop,57.93173631652631
teen pop,57.89251207729468
otacore,57.88433018309664
indie r&b,57.85978174603174
rap conciencia,57.830847953216384
leicester indie,57.8
future bass,57.77451159951161
new french touch,57.75972222222222
electropop,57.75070925558136
indie poptimism,57.73622075722943
electra,57.7
dutch pop,57.66767676767677
chihuahua indie,57.66666666666666
popwave,57.65000000000001
post-teen pop,57.61245575938453
south african alternative,57.58333333333334
australian pop,57.52646006133182
kentucky indie,57.52112676056338
cumbia paraguaya,57.5
country pop,57.42765665954436
pop edm,57.42577360910694
j-poprock,57.40855654761905
boston folk,57.375
talent show,57.36375340290795
perreo,57.359123205823344
melbourne bounce,57.35185185185186
chamber folk,57.33333333333334
k-rap,57.33264550264551
anime latino,57.3
vallenato moderno,57.29166666666666
rap latina,57.22212153386066
russian post-punk,57.18253968253968
nuevo regional mexicano,57.17070206691782
classic belgian pop,57.16666666666667
indiana hip hop,57.16666666666667
celtic metal,57.14285714285714
mexican pop,57.12792212313831
spanish pop,57.10270050676856
midwest americana,57.08333333333334
indie soul,57.06879854975144
stomp and flutter,57.06730769230769
belarusian rock,57.0
west australian hip hop,57.0
melbourne indie,57.0
caucasian classical piano,57.0
pinoy pop punk,57.0
danish hip hop,57.0
russian edm,57.0
new orleans indie,57.0
french indie folk,57.0
newcastle indie,57.0
sydney indie,57.0
belarusian pop,57.0
electro house,56.97599062912178
escape room,56.83354483076312
funk mexicano,56.83333333333334
rochester ny indie,56.83333333333334
south african rock,56.76881720430108
huapango,56.75
rap conscient,56.7375
uk metalcore,56.712715273856574
canadian electropop,56.70370370370371
experimental hip hop,56.69279100529101
toronto rap,56.666765399338246
j-idol,56.66666666666666
australian underground hip hop,56.66666666666666
post-punk argentina,56.62853107344633
bedroom soul,56.5693722943723
scream rap,56.55
pittsburgh indie,56.51785714285714
miami indie,56.5
folklore peruano,56.5
japanese post-hardcore,56.5
vegas indie,56.48518518518519
australian indie folk,56.38888888888889
australian garage punk,56.375
singaporean pop,56.36324786324786
future garage,56.36111111111112
deep underground hip hop,56.35477941176471
rock independant francais,56.35185185185186
alaska indie,56.33333333333334
norwegian singer-songwriter,56.33333333333334
atl trap,56.33085113742048
j-pop,56.30558333333335
underground hip hop,56.28047962655173
moombahton,56.27900219298246
latin arena pop,56.25479712850348
pinoy rock,56.2183908045977
swedish pop,56.16826189556137
minecraft,56.14054054054054
folk-pop,56.12680488264273
auckland indie,56.125
japanese metalcore,56.11111111111111
pinoy reggae,56.03333333333333
swedish metalcore,56.0
glitch pop,56.0
mainland chinese pop,56.0
variete francaise,56.0
classic indo pop,56.0
punjabi hip hop,56.0
dangdut,56.0
indonesian indie,56.0
modern psychedelic folk,56.0
cali rap,55.98717481717945
st louis rap,55.985465116279066
anime,55.960329647829646
modern alternative rock,55.95066850186213
pop r&b,55.92269471396479
future funk,55.89285714285714
pittsburgh rap,55.826116071428565
australian psych,55.7836231884058
north carolina hip hop,55.7734375910707
pony,55.76666666666667
french psychedelic,55.75
swedish electropop,55.73964369823504
dutch edm,55.71428571428572
hyperpop,55.71428571428571
popgaze,55.7
mexican indie,55.68359788359788
dance pop,55.66833967878674
dakke dak,55.66666666666666
aggrotech,55.66666666666666
icelandic rock,55.65570175438596
medieval rock,55.64285714285714
argentine rock,55.63371341720182
milwaukee indie,55.625
darksynth,55.625
indie pop rap,55.59766411871676
axe,55.5925925925926
latin,55.58557414317702
pop electronico,55.58333333333333
rock en espanol,55.58320883323079
latin viral pop,55.56642512077293
indie game soundtrack,55.564102564102576
chillstep,55.52680652680654
bubblegum dance,55.501322751322746
taiwan indie,55.5
kent indie,55.5
solipsynthm,55.5
indian indie,55.46666666666667
german pop,55.4515037593985
swedish americana,55.4375
focus,55.41005291005291
austropop,55.4
mexican rock,55.39644959781992
gauze pop,55.38362068965517
new york drill,55.37613636363636
sleep,55.37266152111105
modern uplift,55.36363636363637
nightrun,55.36
complextro,55.34386217948718
bassline,55.34
latin talent show,55.338983050847474
rap underground mexicano,55.29411764705882
big room,55.29374169617834
canadian hip hop,55.28054652841546
latin alternative,55.27008957238216
morna,55.25
denpa-kei,55.25
cape verdean folk,55.25
british indie rock,55.24147727272727
chicago rap,55.16660927324225
small room,55.0530303030303
progressive alternative,55.0
danspunk,55.0
uk garage,55.0
australian metal,55.0
musique peule,55.0
slovenian electronic,55.0
indonesian pop,55.0
cymraeg,55.0
indie pop,54.99434737712254
detroit trap,54.98838383838383
french synthpop,54.98266666666667
ottawa rap,54.97679738562092
dutch house,54.96196660482375
pop rap,54.958215542089405
ambient worship,54.90972222222222
barbadian pop,54.90931899641576
glee club,54.904
kawaii future bass,54.856575963718825
argentine ambient,54.83333333333334
brostep,54.82718464932751
guadalajara indie,54.8
reggae en espanol,54.7936867054514
icelandic indie,54.77894736842105
latin rock,54.7700743544495
norwegian rock,54.75
detroit hip hop,54.73912025485344
ska mexicano,54.73808169285415
digital hardcore,54.735294117647065
edm,54.73359239267101
contemporary country,54.700477103375576
chinese r&b,54.66666666666666
japanese jazztronica,54.66666666666666
hangpan,54.66666666666666
stomp pop,54.65686274509804
belgian pop,54.6
latin pop,54.594955399554976
hands up,54.58333333333334
funk carioca,54.52777777777778
chicago pop punk,54.5
chinese classical piano,54.5
north carolina emo,54.5
kc indie,54.5
piano cover,54.47692307692307
hawaiian hip hop,54.47222222222221
israeli pop,54.45238095238096
electronic trap,54.44566013696448
calming instrumental,54.43492063492064
texas pop punk,54.41630591630592
german techno,54.41238095238095
rock cristiano,54.39749053030302
mexican hip hop,54.38395552160257
slc indie,54.35555555555555
antiviral pop,54.3221361971362
british soul,54.32129838481157
danish electronic,54.30952380952379
indiecoustica,54.2875824751041
slow game,54.22222222222222
trap,54.195577296558106
nu disco,54.09090909090908
louisville indie,54.08333333333334
alternative pop rock,54.08095238095239
la indie,54.0620268559811
japanese emo,54.05208333333334
phonk,54.03204365079366
dubstep,54.01805555555556
liedermacher,54.0
norwegian choir,54.0
circus,54.0
indie deutschrap,54.0
lldm,54.0
yoik,54.0
yoga,54.0
nantes indie,54.0
minimal tech house,54.0
deep indie singer-songwriter,54.0
victoria bc indie,54.0
university choir,54.0
ambient idm,54.0
cumbia chilena,54.0
oxford choir,54.0
cuarteto,54.0
musica de fondo,54.0
british singer-songwriter,53.97857142857143
military rap,53.96111111111111
puerto rican pop,53.95829756213109
future rock,53.95238095238096
modern dream pop,53.94883040935673
french indie pop,53.94444444444444
folk metal,53.91666666666666
miami metal,53.8
corrido,53.75776116612487
eurodance,53.75074565983353
minnesota hip hop,53.7161680911681
nu-metalcore,53.7037037037037
country rap,53.68186367949252
quebec indie,53.67028985507246
bouncy house,53.66666666666667
singaporean mandopop,53.636752136752136
ska chileno,53.6
chilean hardcore,53.6
russian pop,53.6
gainesville indie,53.58333333333333
australian indie,53.57843137254901
ann arbor indie,53.57230769230769
pop venezolano,53.520408163265294
brazilian hip hop,53.5
italian power metal,53.5
beatboxing,53.5
deep latin christian,53.5
deathstep,53.5
latinx alternative,53.5
oc indie,53.44285714285714
seattle hip hop,53.405045292971
modern rock,53.40301013751398
lo-fi indie,53.40112977602107
australian dance,53.37918618938036
dutch prog,53.33333333333334
classic bhangra,53.33333333333334
latintronica,53.25
musica alagoana,53.23076923076921
alabama rap,53.22484522645813
egyptian pop,53.22222222222222
japanese chillhop,53.20567375886525
christian pop,53.19467796092796
canadian pop,53.17232409467842
kansas city hip hop,53.158270487682245
acoustic pop,53.11550474564842
mississippi hip hop,53.115384615384606
flint hip hop,53.11190476190475
pixie,53.046328429372565
anthem worship,53.03484529461593
okinawan pop,53.0
pei indie,53.0
danish electropop,53.0
shaabi,53.0
musica costarricense,53.0
deep melodic metalcore,53.0
utah indie,53.0
british children's music,53.0
mathcore,53.0
canadian electronic,52.980769230769226
lds youth,52.96250000000001
neo mellow,52.95388011792162
metropopolis,52.93715420360368
dfw rap,52.91072481215493
visual kei,52.90277777777778
shimmer pop,52.90101674641149
latin funk,52.9
cantautor,52.856543169240176
indie dream pop,52.83333333333334
swiss pop,52.83333333333333
south carolina hip hop,52.81361323155216
miami hip hop,52.80629432283871
etherpop,52.78815822155986
jazz boom bap,52.74423076923078
russian alternative rock,52.66666666666667
romanian pop,52.66666666666666
cubaton,52.66666666666666
malaysian pop,52.625
argentine heavy metal,52.625
swedish synthpop,52.61426767676768
virginia hip hop,52.56693630924264
chill r&b,52.53998357963875
northern irish indie,52.53333333333333
gymcore,52.51763668430335
432hz,52.5
canadian indie folk,52.5
chinese classical performance,52.5
lafayette indie,52.5
swedish post-hardcore,52.5
swedish hardcore,52.5
ohio hip hop,52.48579498031425
neo-psychedelic,52.48424744287653
black punk,52.477777777777774
pop peruano,52.46666666666667
latin hip hop,52.46653917366945
zhongguo feng,52.46039603960397
viking folk,52.444444444444464
nordic folk,52.44444444444446
eurovision,52.44444444444444
rap,52.39789246880102
canadian contemporary country,52.36187363834423
canadian folk,52.33333333333333
canadian pop punk,52.33118279569893
nashville hip hop,52.30962180200223
opm,52.29598375054896
post-screamo,52.29124149659864
atlanta indie,52.28
baltimore indie,52.265277777777776
rock nacional,52.24971264367817
fidget house,52.2
europop,52.19089770908872
indie folk,52.139197364063776
progressive electro house,52.12620064620064
trancecore,52.11690821256039
disco house,52.1072755294814
folk rock italiano,52.09
spanish classical piano,52.08333333333334
indie garage rock,52.07624283288001
canadian americana,52.06470588235293
