id_artists,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale
['5LiOoJbxVSAMkBS2fUm3X2'],4xDAzKsPZg7kMOhsnXHOO7,Metejón - Remasterizado,0,155653,0,['Ignacio Corsini'],1922-03-29,0.493,0.0763,4,-25.843000000000004,1,0.0612,0.996,0.909,0.16899999999999998,0.6829999999999999,75.313,5,0.5692833333333333,0.3092847433544005,0.028805959100582954,0.0
['3BiJGZsyX9sJchTqcSA7Su'],4yTwNqT53nEaIMMxDsnNr3,When a Gypsy Makes a Violin Cry,0,180587,0,['Dick Haymes'],1922,0.31,0.342,0,-10.751,0,0.0415,0.958,0.00217,0.371,0.111,82.51,5,0.8208166666666666,0.33884036187871397,0.033420375682428054,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],56GdrUlLtRUtcF4afPH40o,Remembranza - Remasterizado,0,164653,0,['Ignacio Corsini'],1922-03-29,0.53,0.0468,3,-24.855999999999998,0,0.0853,0.996,0.937,0.0982,0.42,129.602,4,0.5857333333333334,0.5322311062926323,0.030471546220042566,0.0
['0Yly6PvJghpLD3Lj8Kvpcj'],5P35CyOEQiMqf8Hd6Pty5p,Méfiez Vous D'anatole,0,192933,0,['Georgius'],1922,0.625,0.35,10,-15.915999999999999,1,0.312,0.9840000000000001,0.0,0.0988,0.8079999999999999,81.567,4,0.7347333333333333,0.33496778326701077,0.03570519107985565,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],5PJCXNLtJSB3XerASHg7eA,Ensueño de Oro - Remasterizado,0,151027,0,['Ignacio Corsini'],1922-03-29,0.43,0.155,1,-26.685,0,0.11599999999999999,0.995,0.9520000000000001,0.20199999999999999,0.564,96.58,4,0.55525,0.3966210416948999,0.027949847321180717,0.0
['3BiJGZsyX9sJchTqcSA7Su'],5SB8vVP2D73dMsDreQaY73,Hush Little Darlin',0,195347,0,['Dick Haymes'],1922,0.32799999999999996,0.201,10,-16.491,1,0.0408,0.985,0.517,0.113,0.31,79.883,5,0.72515,0.32805217098481765,0.03615193855834182,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],5cUFFY2Atw4QeFitueQCt2,El Huerfano - Remasterizado,0,159800,0,['Ignacio Corsini'],1922-03-29,0.366,0.0749,7,-26.34,1,0.0806,0.996,0.924,0.11699999999999999,0.515,90.969,3,0.5609999999999999,0.37357858295654744,0.029573424632182845,0.0
['4AxgXfD7ISvJSTObqm4aIE'],5d5gQxHwYovxR5pqETOIAa,J'en Ai Marre,0,208267,0,['Mistinguett'],1922,0.511,0.20600000000000002,0,-15.514000000000001,1,0.0592,0.995,0.0,0.418,0.48100000000000004,70.443,4,0.7414333333333334,0.289285318286538,0.03854298140094383,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],5kAxzo7Dog9Buovp3xXVO7,Nostalgia - Remasterizado,0,139760,0,['Ignacio Corsini'],1922-03-29,0.496,0.158,8,-18.494,1,0.0423,0.995,0.638,0.20600000000000002,0.34700000000000003,79.87100000000001,4,0.6917666666666666,0.3280028910873199,0.02586471731285278,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],5wfVO3v2ZiWmQvJuRgJANe,Monigote - Remasterizado,0,179813,0,['Ignacio Corsini'],1922-03-21,0.42200000000000004,0.561,5,-18.573,0,0.461,0.98,3.41e-06,0.966,0.528,121.542,4,0.69045,0.499131441806601,0.03327713519015453,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],5wg1nnx7c2kri8kx5xlCFH,El Beso de la Muerte - Remasterizado,0,158587,0,['Ignacio Corsini'],1922-03-21,0.493,0.0997,5,-23.445999999999998,1,0.0607,0.996,0.48100000000000004,0.192,0.5870000000000001,127.023,4,0.6092333333333333,0.5216400349887272,0.02934894050152679,0.0
