,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
2422,2422,0,C,0.203,2018,0.0769,['Juice WRLD'],0.6709999999999999,165820,0.529,1,4VXIryQMWpIdGgYR4TrjT1,0.000335,0.0856,-7.226,1,All Girls Are The Same,87,2018-12-10,0.307,161.989
2423,2423,0,C,0.74,2018,0.145,['YNW Melly'],0.759,268434,0.73,1,7eBqSVxrzQZtK2mmgRG6lC,3.06e-06,0.11,-7.985,0,Murder On My Mind,82,2018-08-03,0.0516,115.007
2427,2427,0,C,0.608,2018,0.607,['Jeremy Zucker'],0.795,181613,0.17800000000000002,0,18uwL0vNUanqZH0ro2QcOP,0.0,0.623,-11.991,1,comethru,82,2018-09-28,0.0574,93.982
2433,2433,0,C,0.6409999999999999,2019,0.598,['Clairo'],0.7440000000000001,188387,0.619,0,7B3z0ySL9Rr0XvZEAjWZzM,0.00372,0.231,-9.805,1,Sofia,90,2019-08-02,0.039,112.997
2434,2434,0,C,0.557,2019,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,6UelLqGlWMcVH1E5c4H7lY,0.0,0.335,-4.209,1,Watermelon Sugar,94,2019-12-13,0.0465,95.39
2435,2435,0,C,0.5529999999999999,2019,0.192,['Post Malone'],0.695,215280,0.762,0,21jGcNKet2qwijlDFuPiPb,0.00244,0.0863,-3.497,1,Circles,89,2019-09-06,0.0395,120.042
2436,2436,0,C,0.67,2019,0.8270000000000001,['Luke Combs'],0.552,219573,0.225,0,6gdLyYNuhWBzqwlOFSsXC7,0.0,0.111,-11.501,1,Better Together,80,2019-11-08,0.0477,138.002
2437,2437,0,C,0.449,2019,0.0758,['Juice WRLD'],0.745,248431,0.561,1,41MCdlvXOl62B7Kv86Bb1v,0.0,0.133,-4.869,1,Empty,81,2019-03-08,0.0807,77.557
2438,2438,0,C,0.12,2019,0.952,['Billie Eilish'],0.421,291796,0.131,0,6CcJMwBtXByIz4zQLzFkKc,0.004529999999999999,0.109,-18.435,1,i love you,83,2019-03-29,0.0382,137.446
2439,2439,0,C,0.156,2019,0.242,['Bea Miller'],0.74,180161,0.415,1,7JDWhC422Gtk1Bq0mL3OTC,0.000156,0.319,-8.914,1,feel something,83,2019-06-21,0.0707,136.029
2440,2440,0,C,0.605,2019,0.107,"['benny blanco', 'Juice WRLD']",0.731,177847,0.65,1,6cjSh516BbrNUs213jDAGm,0.0,0.124,-5.2860000000000005,1,Graduation (with Juice WRLD),80,2019-08-30,0.271,154.968
2441,2441,0,C,0.7240000000000001,2019,0.042,['24kGoldn'],0.6859999999999999,112493,0.541,0,6ap9lSRJ0iLriGLqoJ44cq,0.0,0.0675,-4.993,0,CITY OF ANGELS,81,2019-11-22,0.0493,120.082
2446,2446,0,C,0.0681,2019,0.0875,['Andy Grammer'],0.6409999999999999,196188,0.537,0,5A3fPy30SN2wuzrahpcxvV,9.05e-06,0.115,-5.452000000000001,0,"Don't Give Up On Me - (From ""Five Feet Apart"")",81,2019-07-26,0.0282,112.864
2451,2451,0,C,0.728,2019,0.033,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",0.61,193000,0.83,0,2Rk4JlNc2TPmZe2af99d45,0.0,0.118,-4.105,1,ME! (feat. Brendon Urie of Panic! At The Disco),80,2019-08-23,0.0571,182.162
2452,2452,0,C,0.557,2019,0.122,['Harry Styles'],0.5479999999999999,174000,0.816,0,1e9oZCCiX42nJl0AcqriVo,0.0,0.335,-4.209,1,Watermelon Sugar,82,2019-11-17,0.0465,95.39
2454,2454,0,C,0.522,2020,0.244,"['Drake', 'Lil Durk']",0.7609999999999999,261493,0.518,1,2SAqBLGA283SUiwJ3xOUVI,3.47e-05,0.107,-8.871,1,Laugh Now Cry Later (feat. Lil Durk),93,2020-08-14,0.134,133.976
2455,2455,0,C,0.682,2020,0.468,['Ariana Grande'],0.737,172325,0.802,1,35mvY5S1H3J2QZyna3TFe0,0.0,0.0931,-4.771,1,positions,96,2020-10-30,0.0878,144.015
2456,2456,0,C,0.485,2020,0.237,['Ariana Grande'],0.83,173711,0.585,1,6Im9k8u9iIzKMrmV7BWtlF,0.0,0.248,-6.476,1,34+35,92,2020-10-30,0.094,109.978
2457,2457,0,C,0.535,2020,0.0172,"['Juice WRLD', 'Marshmello']",0.625,205485,0.8140000000000001,1,2Y0wPrPQBrGhoLn14xRYCG,0.0,0.158,-5.181,1,Come & Go (with Marshmello),90,2020-07-10,0.0657,144.991
2458,2458,0,C,0.456,2020,0.191,['Luke Combs'],0.487,232533,0.65,0,6IBcOGPsniK3Pso1wHIhew,0.0,0.0933,-5.195,1,Forever After All,86,2020-10-23,0.0253,151.964
2459,2459,0,C,0.173,2020,0.36,['Ariana Grande'],0.487,201882,0.534,0,3UoULw70kMsiVXxW0L3A33,0.0,0.1,-5.664,0,pov,89,2020-10-30,0.0555,131.798
2460,2460,0,C,0.581,2020,0.316,"['Chris Brown', 'Young Thug']",0.755,176960,0.578,1,1IIKrJVP1C9N7iPtG6eOsK,0.0,0.25,-8.932,0,Go Crazy,89,2020-05-08,0.145,94.148
